license_year,license_number,animals_name,species,primary_breed,secondary_breed,weight_kg
2018,LN8001371,Kingston,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,20.76
2017,LN85250,Pepe,Dog,Pomeranian,Mix,23.87
2018,LNS108784,Milo,Dog,"Dachshund, Miniature Smooth Haired",Mix,22.52
2018,LNS110853,Scout,Dog,Terrier,Unknown,30.88
2018,LNS140233,Hooligan,Dog,"Retriever, Labrador",Unknown,12.27
2018,LNS142822,Mowgli,Dog,"Retriever, Labrador",Unknown,24.08
2018,LN210596,Poirot,Dog,Affenpinscher,Unknown,20.93
2018,LN584571,Viejo,Dog,Shih Tzu,Unknown,22.52
2018,LNS112770,Jeremy,Dog,Border Collie,Mix,17.1
2018,LN82283,Gozer,Dog,Havanese,Unknown,21.74
2018,LN586694,Max,Dog,"Terrier, Rat",Unknown,23.26
2018,LNS136912,Rupert,Dog,Australian Shepherd,Unknown,28.12
2018,LNS141582,Misty,Dog,Shetland Sheepdog,Pomeranian,19.62
2018,LNS147169,Sami,Dog,Bichon Frise,Unknown,21.64
2018,LN83858,Banjo,Dog,Norwegian Elkhound,Terrier,21.2
2018,LN8001742,Reva,Dog,Bernese Mountain Dog,Unknown,24.93
2018,LN216519,Archimedes,Dog,Keeshond,Unknown,25.57
2018,LNS146850,Winnie,Dog,"Retriever, Golden",Unknown,11.61
2017,LN438540,Rose,Dog,"Retriever, Labrador",Unknown,28.6
2018,LN436387,Teak,Dog,Australian Cattle Dog,Unknown,22.93
2018,LNS135444,Benny,Dog,Chow Chow,German Shepherd,10.24
2018,LNS116946,Dash,Dog,"Chihuahua, Short Coat",Unknown,15.48
2017,LN70054,Nina,Dog,Xoloitzcuintli,Unknown,32.01
2018,LN8001311,Cedar,Dog,"Australian Shepherd, Miniature",Mix,21.69
2018,LNS145317,Ceili,Dog,"Retriever, Golden",Unknown,25
2018,LNS129123,Dempsey,Dog,Mix,American Blue Heeler,26.7
2018,LNS139926,Gracie,Dog,"Poodle, Standard",Unknown,18.25
2017,LNS100935,Sherman,Dog,"Terrier, Silky",Mix,24.71
2017,LN28324,Rue,Cat,Domestic Medium Hair,Unknown,3.94
2018,LN133956,Woody,Cat,Domestic Shorthair,Unknown,3.89
2018,LN142557,Rachel,Cat,LaPerm,Unknown,4.48
2018,LNS102723,Molly,Cat,Domestic Shorthair,Unknown,4.05
2017,LN964733,Watson,Cat,Domestic Shorthair,Mix,4.31
2018,LNS103640,Fare,Cat,Mix,Angora,4.1
2018,LN8001682,Pepper,Cat,Domestic Medium Hair,Mix,4.5
2017,LN277198,Stewie,Cat,Domestic Shorthair,Unknown,4.5
2018,LN905176,Whiskers,Cat,Domestic Shorthair,Unknown,4.53
2017,LN128002,Percival,Cat,Ragdoll,Unknown,4.51
2018,LN8000762,Luke,Cat,American Shorthair,Unknown,4.67
2018,LN8003671,Clyde,Cat,Mix,Mix,4.38
2018,LNS142341,Bellatrix,Cat,Domestic Medium Hair,Unknown,4.39
2018,LNS140325,Cherry,Cat,Domestic Shorthair,Unknown,4.69
2018,LNS112676,Ouzo,Cat,Domestic Shorthair,Mix,4.6
2017,LNS130671,Timbus,Cat,Domestic Shorthair,Mix,5.11
2017,LN731268,Pepper,Cat,Domestic Shorthair,Unknown,4.2
2018,LN77682,Wash,Cat,Domestic Shorthair,Unknown,3.67
2018,LN8002261,Kyuss,Cat,Domestic Medium Hair,Unknown,4.49
2017,LN833095,Esme,Cat,Domestic Medium Hair,Unknown,4.74
2017,LNS130231,Farah,Cat,Egyptian Mau,Unknown,5.18
2018,LNS147519,Oliver,Cat,Mix,Unknown,4.82
2017,LN284855,Maxwell,Cat,Domestic Shorthair,Bengal,4.43
2018,LNS129706,Maple,Dog,Shepherd,Unknown,13.81
2018,LN8002369,Cayman,Dog,Hound,Mix,26.1
2018,LN422768,Buddy,Dog,"Poodle, Miniature","Chihuahua, Short Coat",15.21
2017,LN216537,Winston,Dog,Beagle,Unknown,24.45
2017,LN442592,Belle,Dog,Beagle,Mix,20.5
2018,LN8001247,Barkley,Dog,"Bulldog, French",Unknown,25.89
2018,LNS139966,Miso,Dog,"Spaniel, Cavalier King Charles","Poodle, Miniature",17.16
2018,LN138324,Miki,Dog,"Poodle, Miniature",American Eskimo,28.16
2018,LN730563,Pepi,Dog,"Chihuahua, Short Coat",Mix,28.72
2018,LN26346,Ruby,Dog,"Spaniel, Tibetan",Unknown,13.37
2018,LNS133370,Alvin,Dog,"Retriever, Labrador",German Shepherd,25.85
2017,LNS143602,Daisy,Dog,Australian Cattle Dog,Mix,26.55
2018,LN899888,Maya,Dog,"Retriever, Labrador",Unknown,24.99
2017,LN280701,Archie,Dog,"Dachshund, Standard Wire Haired",Unknown,25.54
2018,LN8001041,Anubis,Dog,German Shepherd,Mix,16.74
2018,LN895189,Kona,Dog,"Spaniel, English Springer",Unknown,16.01
2018,LN728471,Nellie,Dog,Border Collie,Unknown,28.09
2018,LNS103615,Louie,Dog,Chow Chow,Unknown,2.64
2018,LNS147321,Calhoun,Dog,Beagle,Unknown,26.34
2018,LNS147771,Juneau,Dog,"Retriever, Labrador",Australian Cattle Dog,13.31
2018,LN280772,Perry,Dog,Terrier,Miniature Pinscher,5.87
2018,LNS113579,Boon,Dog,Siberian Husky,Unknown,17.35
2017,LNS136307,Charlie,Dog,German Shepherd,Unknown,30.13
2018,LN84313,Gus,Dog,Briard,Unknown,11.4
2018,LN8002192,Pixie,Dog,Miniature Pinscher,Unknown,17.11
2017,LNS128681,Ella,Dog,"Retriever, Labrador",Unknown,19.95
2017,LN904131,Josie,Dog,"Retriever, Nova Scotia Duck Tolling",Unknown,28.29
2018,LNS106846,Maxfield,Dog,"Chihuahua, Short Coat","Terrier, Rat",25.95
2018,LN950744,Maggie,Dog,"Dachshund, Standard Long Haired",Australian Shepherd,16.67
2018,LNS145555,Kaneel,Dog,Beauceron,Mix,39.29
2017,LNS126795,Maya,Dog,Border Collie,Australian Shepherd,21.67
2018,LNS144051,Fiona,Dog,"Terrier, Pit Bull","Terrier, Pit Bull",32.86
2018,LN8004021,Leila,Dog,Border Collie,"Retriever, Flat-Coated",7.85
2017,LNS129084,Daxter,Dog,Bichon Frise,Unknown,20.65
2018,LN8003295,Kilo,Dog,Pomeranian,American Eskimo,17.47
2017,LNS130406,Lucky,Dog,"Retriever, Labrador","Poodle, Standard",23.8
2018,LN8002603,Molly,Dog,Pekingese,Pomeranian,22.02
2018,LN8001765,Chewy,Dog,"Spaniel, Cavalier King Charles",Mix,22.15
2018,LNS121913,Coda,Dog,Australian Shepherd,Unknown,18.62
2018,LN138761,Pippin,Dog,"Retriever, Labrador",Mix,13.72
2016,LN955781,Ziggy Sugar,Dog,"Retriever, Labrador","Poodle, Standard",13.11
2018,LNS101883,Chavo,Dog,Pomeranian,"Poodle, Miniature",21.77
2017,LN960176,Violet,Dog,Rhodesian Ridgeback,Unknown,30.18
2018,LNS145547,Faolan,Dog,Siberian Husky,Unknown,23.86
2017,LN139602,Harper,Dog,Greyhound,Unknown,23.52
2018,LNS117744,Genepi,Dog,Greater Swiss Mountain Dog,Unknown,27.54
2018,LNS126568,Lula Bell,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,24.22
2018,LN8000838,Larry,Dog,"Mixed Breed, Large (over 44 lbs fully grown)","Retriever, Labrador",32.46
2016,LN955145,Harvey,Dog,"Retriever, Labrador",Unknown,14.34
2017,LN18358,Harrison,Dog,Shih Tzu,Unknown,14.17
2018,LN283749,Chayse,Dog,Boxer,"Retriever, Labrador",9.93
2018,LN834709,Tanner,Dog,"Spaniel, American Cocker",Unknown,18.3
2018,LNS111725,Yeti,Dog,"Australian Shepherd, Miniature",Unknown,21.24
2017,LN280752,Gordy,Dog,Border Collie,Rottweiler,25.33
2018,LNS141510,Laika,Dog,Terrier,Unknown,15.34
2017,LN130223,Rosie,Dog,Pomeranian,Unknown,18
2017,LN215894,Metabo,Dog,"Chihuahua, Short Coat",Mix,11.19
2017,LN84553,Rex,Dog,Hound,Basenji,16.84
2017,LNS131549,Baxter,Dog,Basset Hound,Unknown,18.04
2018,LNS145226,Chloe,Dog,"Retriever, Labrador",Unknown,16.93
2017,LNS106564,Iggy,Dog,"Dachshund, Miniature Smooth Haired",Unknown,18.68
2018,LN8001156,Cleo,Dog,"Cur, Mountain",Unknown,27.28
2018,LN8000922,Prince,Dog,Papillon,Mix,26.16
2018,LNS132515,Juliette,Dog,Maltese,"Poodle, Miniature",26.73
2018,LN8003365,Shadow,Dog,"Terrier, American Staffordshire",Mix,15.38
2018,LNS121925,Jackson,Dog,"Retriever, Labrador",Unknown,16.25
2017,LNS129580,Keto,Dog,Retriever,"Retriever, Golden",10.04
2018,LNS140577,Dexter,Dog,"Vizsla, Smooth Haired",Unknown,10.66
2018,LN581560,Ringo,Dog,Australian Cattle Dog,Unknown,32.43
2017,LNS133546,Barney,Dog,"Terrier, Cairn",Mix,22.49
2018,LNS118288,Zeus,Dog,Bichon Frise,"Terrier, West Highland White",40.56
2018,LN136835,Cal,Dog,Pug,Beagle,23.33
2018,LN217563,Murray,Dog,"Dachshund, Standard Smooth Haired","Chihuahua, Short Coat",21.34
2017,LN216645,Gidget,Dog,"Terrier, American Pit Bull",Mix,24.19
2018,LNS132091,Clover,Dog,"Terrier, Boston",Unknown,11.42
2018,LN901876,Derby,Dog,"Retriever, Labrador",Unknown,18.6
2018,LNS101667,Grommet,Dog,Australian Shepherd,Unknown,21.34
2018,LNS144968,Lexi,Dog,German Shepherd,Unknown,20.05
2018,LNS141946,Ruby,Dog,Retriever,Unknown,20.63
2017,LNS130860,Prim,Dog,Papillon,Unknown,30.4
2018,LNS141301,Charlie Chaplin,Dog,"Australian Shepherd, Miniature",Unknown,14.77
2017,LN960485,Phinney,Dog,Beagle,Unknown,18.32
2018,LN731319,Oscar,Dog,"Retriever, Labrador",Unknown,14.27
2018,LNS146603,Lucy,Dog,"Retriever, Golden",Unknown,32.08
2018,LNS125611,Tommy,Dog,"Retriever, Labrador",Beagle,16.24
2018,LNS115630,Gustopher,Dog,"Schnauzer, Giant","Retriever, Labrador",10.29
2017,LN21452,Prince Uno,Dog,American Eskimo,Mix,15.47
2018,LNS115304,Kona,Dog,Australian Shepherd,Unknown,22.97
2016,LNS125075,Marty,Dog,Miniature Pinscher,Unknown,21.22
2018,LN216203,Digger,Dog,"Retriever, Golden",Unknown,20.15
2018,LNS150163,Semmy,Dog,"Terrier, American Pit Bull",Mix,7.61
2016,LNS125630,Maya,Dog,"Retriever, Labrador",Unknown,25.73
2017,LN576558,Gage Louis,Dog,Bichon Frise,Unknown,18.93
2017,LNS102238,Junie,Dog,Australian Cattle Dog,"Retriever, Labrador",12.23
2017,LN28068,Zoey,Dog,Australian Shepherd,Unknown,23.4
2018,LNS132225,Pippa,Dog,Newfoundland,Unknown,30.8
2018,LNS119905,Mamie,Dog,"Retriever, Labrador",Unknown,22.82
2017,LN959328,Conan,Dog,Pug,Unknown,13.73
2017,LNS131269,Bixby,Dog,"Chihuahua, Short Coat",Mix,22.04
2017,LN361093,Smoky,Cat,Domestic Shorthair,Unknown,4.85
2017,LNS123084,Jasmine,Cat,Domestic Shorthair,Mix,4.77
2018,LNS120840,Mustard,Cat,Domestic Shorthair,Unknown,4.15
2018,LNS152199,Callie,Cat,Domestic Shorthair,Mix,4.69
2018,LN949761,Chrissie,Cat,Domestic Shorthair,Unknown,4.36
2018,LN577820,Molly,Cat,Domestic Shorthair,Unknown,4.5
2016,LN956876,Bella,Cat,Domestic Longhair,Unknown,4.51
2017,LN584186,Maple Syrup,Cat,Domestic Shorthair,Unknown,4.66
2018,LNS131819,Willy,Cat,Domestic Shorthair,Mix,4.7
2017,LNS129475,Nyx,Cat,American Shorthair,Unknown,4.2
2018,LNS118889,Bubbles,Cat,Domestic Shorthair,Mix,5.1
2017,LNS102577,Abe,Cat,Maine Coon,Mix,4.62
2017,LN833636,Mombi,Cat,Domestic Longhair,Unknown,4.31
2017,LNS107938,Mia,Cat,Domestic Shorthair,Mix,4.11
2017,LN349629,Orion,Cat,Domestic Shorthair,Unknown,4.89
2017,LN79347322,Mr Darcy,Cat,Domestic Shorthair,Unknown,4.16
2018,LN8000612,Rosie,Cat,Domestic Shorthair,Mix,4.44
2018,LN8003497,Oliver,Cat,Domestic Shorthair,Mix,4.67
2018,LNS139298,Milo,Cat,Domestic Shorthair,Unknown,4.13
2018,LNS121342,Isabeau,Cat,Domestic Shorthair,Mix,4.11
2018,LN204863,Cinder,Cat,Domestic Shorthair,Unknown,4.18
2018,LNS139573,Hoku,Cat,Domestic Shorthair,Unknown,4.23
2018,LNS142885,Sydney,Cat,Maine Coon,American Shorthair,4.73
2018,LNS119479,Vera Neumann,Cat,Domestic Medium Hair,Unknown,3.9
2018,LNS133774,Poppy,Cat,Domestic Shorthair,Unknown,4.56
2018,LNS104169,Mittens,Cat,Domestic Shorthair,Mix,4.49
2018,LNS114717,Ringa,Cat,Domestic Shorthair,Unknown,4.15
2017,LNS132653,Louisette,Cat,Domestic Shorthair,Mix,4.35
2017,LN142766,Leon,Cat,Domestic Medium Hair,Unknown,3.83
2018,LNS123357,Pillow,Cat,Ragdoll,Unknown,5.29
2018,LNS110380,Akira,Cat,Mix,Domestic Shorthair,4.54
2018,LN824013,Connera,Cat,Domestic Shorthair,Unknown,4.49
2017,LN73087,Fifille,Cat,Domestic Longhair,Unknown,4.27
2018,LN284621,Bingley,Cat,Domestic Longhair,Unknown,4.82
2018,LNS120839,Tootsie Roll,Cat,Domestic Shorthair,Unknown,4.37
2018,LNS116397,Lily,Cat,Siamese,Mix,4.51
2018,LN204824,Penelope,Cat,Domestic Shorthair,Unknown,4.71
2015,LN573197,Sasha,Cat,Domestic Shorthair,Unknown,4.82
2018,LNS142501,India,Cat,Domestic Shorthair,Mix,4.6
2018,LNS134424,Pi,Cat,Domestic Shorthair,Mix,4.32
2018,LNS152250,Lolo,Cat,Domestic Longhair,Mix,4.17
2017,LN276755,Smilla,Cat,Domestic Shorthair,Unknown,3.85
2018,LNS134465,Petrol,Cat,Domestic Shorthair,Mix,4.03
2017,LNS108576,Niera,Cat,Domestic Medium Hair,Unknown,4.72
2017,LNS126685,Kit,Cat,Domestic Shorthair,Mix,4.04
2017,LNS132852,Kitty,Cat,American Shorthair,Unknown,4.29
2018,LN140685,Martin,Cat,Domestic Shorthair,Unknown,4.3
2018,LNS143981,Baker,Dog,"Retriever, Golden",Unknown,28.08
2017,LN356678,Mongo,Dog,"Retriever, Labrador",Mix,7.36
2018,LNS146099,Cosmo,Dog,"Terrier, Cairn",Mix,24.32
2018,LNS117511,Buster,Dog,Terrier,Unknown,30.96
2017,LN210106,Jiro,Dog,Shiba Inu,Unknown,23.02
2018,LN959549,Jiro,Dog,Siberian Husky,Unknown,19.84
2016,LN275576,Gazelle,Dog,"Terrier, Rat",Unknown,23.4
2018,LNS140378,Sam,Dog,"Chihuahua, Short Coat",Pug,22.08
2018,LNS140847,Maggie,Dog,Terrier,Mix,28.64
2018,LN583980,Henri,Dog,Lhasa Apso,Shih Tzu,10.77
2018,LNS139532,Hugo,Dog,"Terrier, Boston","Dachshund, Standard Smooth Haired",26.25
2018,LNS137484,Biggie,Dog,"Terrier, Jack Russell",Unknown,7.47
2017,LN216906,Charlie,Dog,Shih Tzu,Unknown,22.64
2017,LN80124,Shilo,Dog,Newfoundland,Bernese Mountain Dog,25.51
2017,LNS138366,Nukka,Dog,Keeshond,Samoyed,23.39
2018,LNS122947,Seshen,Cat,Abyssinian,Unknown,4.64
2018,LN8000493,Indy,Cat,Domestic Medium Hair,Mix,4.27
2018,LNS144670,Toby LeRone,Cat,American Shorthair,Unknown,4.6
2018,LNS114490,Snoqualmie,Cat,Balinese,Mix,3.94
2017,LN725489,Mac,Cat,Domestic Shorthair,Unknown,4.18
2018,LNS146871,Zara,Cat,Domestic Medium Hair,Mix,4.48
2017,LNS127195,Wolverine,Cat,Domestic Shorthair,Mix,4.35
2018,LNS130502,Miss Hiss,Cat,Domestic Longhair,Unknown,4.8
2018,LNS134497,Charles,Cat,Domestic Shorthair,Mix,3.83
2018,LN83042,Tommy Girl,Cat,Domestic Shorthair,Unknown,4.38
2017,LN141869,Chewbacca,Dog,"Dachshund, Standard Long Haired","Chihuahua, Short Coat",25.09
2017,LNS129073,Brutus,Dog,Rottweiler,Unknown,14.51
2018,LN8000617,Joe,Dog,"Retriever, Golden","Poodle, Standard",10.47
2018,LN8000267,Louie,Dog,"Poodle, Toy",Unknown,22.88
2018,LNS130057,Robbie,Dog,German Shepherd,Unknown,8.62
2017,LNS101622,Emma,Dog,"Retriever, Golden","Poodle, Standard",32.93
2018,LNS141862,Cobalt,Dog,"Retriever, Labrador",German Shepherd,12.82
2016,LN959935,Violet,Dog,"Spaniel, American Cocker",Chow Chow,24.82
2018,LNS139806,Jasmine,Dog,Shih Tzu,Unknown,17.96
2018,LN727922,Luna Nero,Dog,"Retriever, Labrador","Poodle, Standard",16.95
2018,LN585912,Remy,Dog,German Shepherd,Belgian Malinois,33.44
2018,LNS125855,Rita,Dog,"Retriever, Labrador","Terrier, Russell",11.83
2017,LNS130298,Zamboni,Dog,Australian Shepherd,Unknown,24.57
2018,LNS144979,Daisy,Dog,"Retriever, Labrador",Mix,22.63
2018,LNS140262,Lily,Dog,Border Collie,"Welsh Corgi, Cardigan",19.55
2018,LN830694,Frankie,Dog,Lhasa Apso,Pomeranian,23.38
2017,LNS107648,Miss Ellie,Dog,"Terrier, Tibetan",Unknown,9.53
2018,LNS131385,Pip,Dog,"Terrier, Silky",Unknown,20.6
2017,LNS132087,Foz,Dog,"Spaniel, Tibetan",Unknown,17.87
2018,LNS128673,Bo,Dog,"Chihuahua, Long Coat",Unknown,23.45
2018,LN8004134,Maggie,Dog,"Terrier, American Pit Bull",Mix,18.72
2018,LN731849,Bobo,Dog,"Poodle, Toy",Unknown,11.68
2018,LN828535,DInah,Dog,Havanese,Unknown,19.21
2017,LN216673,Toby,Dog,Australian Shepherd,Unknown,22.38
2017,LNS107797,Bluebell,Dog,"Retriever, Labrador",Mix,19.12
2018,LN216214,Rhuben,Dog,"Retriever, Labrador",Boxer,28.13
2018,LN8000160,Indigo,Dog,German Shepherd,Mix,32.2
2018,LNS141522,Melba,Dog,"Poodle, Miniature","Retriever, Golden",24.32
2017,LNS108363,Agnes,Dog,"Retriever, Labrador",Unknown,15.48
2018,LNS145857,Pippa,Dog,"Chihuahua, Short Coat",Pekingese,24.36
2017,LNS136434,Jasper,Dog,German Shepherd,Mix,20.51
2017,LNS109835,Josie,Dog,Portuguese Water Dog,Unknown,19.68
2018,LNS107336,Sadie,Dog,"Spaniel, Cavalier King Charles",Unknown,5.41
2018,LNS115383,Goldie,Dog,"Poodle, Standard","Retriever, Golden",23.49
2018,LN8001665,"""Luci"" Lucia Rosalin Wicksugal",Dog,"Retriever, Golden",Unknown,16.39
2018,LN140591,Diggy,Dog,Lhasa Apso,Unknown,22.73
2018,LN202110,Duffy,Dog,"Terrier, West Highland White",Unknown,28.3
2017,LNS102215,King,Dog,German Pinscher,Unknown,24.62
2017,LNS137022,Poppy,Dog,Old English Sheepdog,"Poodle, Standard",15.13
2016,LNS119369,Scout,Dog,"Terrier, Jack Russell","Poodle, Miniature",14.34
2017,LN139742,Spike,Dog,"Chihuahua, Short Coat","Terrier, Rat",27.45
2018,LNS128676,Miles,Dog,Shepherd,"Retriever, Labrador",24.35
2018,LN80484,Samwise,Dog,Lhasa Apso,Unknown,19.68
2018,LN725333,Nina,Dog,Portuguese Water Dog,Unknown,26.38
2018,LNS123620,Triumph Buras,Dog,Coonhound,Australian Cattle Dog,24.79
2017,LN444138,Gemma,Dog,"Terrier, Irish",Unknown,10.74
2017,LNS140567,Darla,Dog,Maltese,Unknown,15.23
2018,LNS139342,Finnegan,Dog,Coonhound,Unknown,27.38
2017,LNS138201,Dewey,Dog,"Cur, Black-Mouth","Retriever, Labrador",16.76
2018,LNS102688,Mac,Dog,Spinone Italiano,Unknown,24.14
2018,LN355473,Lola,Dog,"Schnauzer, Miniature",Unknown,21.88
2018,LNS142485,Sandy,Dog,Alaskan Husky,Mix,28.31
2018,LNS145538,Nellie,Dog,Australian Cattle Dog,Mix,17.06
2017,LNS133820,Gretchen,Dog,Beagle,Unknown,23.67
2017,LN280582,Moby,Dog,Portuguese Water Dog,Unknown,22.14
2017,LNS136366,Trixie,Dog,German Shepherd,"Spaniel, English Springer",25.51
2018,LN8000609,Elly,Cat,Domestic Longhair,Mix,4.12
2018,LNS140776,Mitzy,Cat,Domestic Longhair,Unknown,4.34
2018,LNS146788,Penny,Cat,Domestic Shorthair,Mix,4.81
2018,LNS141883,Leo,Cat,Domestic Shorthair,Unknown,4.54
2018,LNS142628,Grumpy,Cat,Domestic Medium Hair,Mix,4.96
2017,LN217828,Luna,Cat,Domestic Shorthair,Unknown,4.42
2017,LN349147,Linky,Cat,Siamese,Mix,4.4
2017,LN276629,Pogo,Cat,Domestic Shorthair,Unknown,4.1
2017,LNS107627,Hoshi,Cat,Domestic Shorthair,Domestic Shorthair,4
2018,LNS104107,Minnow,Cat,Domestic Shorthair,Mix,4.26
2018,LN8004006,Zippy,Cat,Domestic Shorthair,Unknown,4.87
2017,LN123147,Harley,Cat,Domestic Shorthair,Unknown,4.56
2017,LN353161,Knives,Cat,Domestic Shorthair,Unknown,4.79
2017,LN85533,Flash,Cat,American Shorthair,Unknown,4.75
2018,LN83503,Myron,Cat,Siamese,Unknown,4.04
2018,LNS142080,Andante,Cat,Domestic Shorthair,Mix,4.57
2017,LN142544,Nala,Cat,Domestic Shorthair,Unknown,4.46
2018,LNS134426,Dolce,Cat,Domestic Medium Hair,Mix,4.57
2018,LN732462,Benjamin,Cat,Domestic Shorthair,Unknown,4.46
2018,LNS104167,Leo,Cat,Domestic Shorthair,Mix,4.77
2018,LN833754,Charlie,Cat,Domestic Shorthair,Unknown,4.22
2018,LN896687,Minka,Cat,American Shorthair,Unknown,4.11
2018,LNS100819,Sasha,Cat,Domestic Medium Hair,Mix,4.47
2017,LNS104898,Louis,Cat,LaPerm,Unknown,4.25
2018,LNS134429,Chandra,Cat,Domestic Shorthair,Mix,4.18
2018,LNS146492,Thomas,Cat,Domestic Shorthair,Mix,4.53
2018,LN832550,Ollie,Cat,Russian Blue,Unknown,3.89
2018,LNS139262,Azula,Cat,Domestic Shorthair,Mix,5.02
2018,LN586309,Snuffles,Cat,Domestic Shorthair,Unknown,4.44
2018,LN273668,Sammy,Cat,Domestic Shorthair,Unknown,4.38
2018,LN273487,Oliver,Cat,Domestic Shorthair,Unknown,5.08
2018,LN434892,Sammi,Cat,Domestic Shorthair,Unknown,4.01
2018,LN282940,Lucy,Cat,Domestic Shorthair,Unknown,4.52
2018,LNS142227,Margot,Dog,Australian Shepherd,Mix,18.24
2016,LN82266,Gwen,Dog,"Terrier, American Pit Bull","Retriever, Labrador",10.21
2015,LN560448,Lou,Dog,Pug,Beagle,23.36
2018,LN730949,Cassie,Dog,"Retriever, Labrador",Australian Shepherd,22.24
2018,LNS130834,Jager,Dog,"Terrier, Pit Bull",Unknown,13.06
2018,LNS131348,Sam,Dog,Australian Shepherd,Unknown,12.49
2017,LN80904,Cowboy,Dog,"Retriever, Golden",Unknown,23.22
2018,LNS124117,Suzy Q,Dog,Beagle,Mix,28.85
2016,LNS101088,Raphael,Dog,"Poodle, Miniature",Mix,21.57
2018,LNS118149,Dinko,Dog,Terrier,Mix,16.83
2018,LNS141106,Jake,Dog,"Terrier, American Pit Bull","Dachshund, Standard Smooth Haired",18.34
2018,LNS146565,Cedar,Dog,"Terrier, Pit Bull",Unknown,3.54
2017,LNS131146,Kaehu,Dog,"Chihuahua, Short Coat",Unknown,34.32
2017,LN359737,Millie,Dog,German Shepherd,Australian Shepherd,21.47
2018,LNS113638,Dobbie,Dog,"Terrier, Yorkshire",Unknown,21.11
2017,LN86226,Abbey,Dog,Xoloitzcuintli,Unknown,23.11
2018,LNS123011,Sandy,Dog,Terrier,Mix,21.54
2018,LN961032,Labowski,Dog,Rottweiler,Weimaraner,14.18
2017,LNS135983,Jasper,Dog,Australian Kelpie,Unknown,18.74
2018,LN581864,Sampagita,Dog,Maltese,"Poodle, Miniature",21.42
2016,LNS123991,Dragon,Dog,"Retriever, Labrador",Unknown,22.68
2018,LNS142137,Penny,Dog,"Pointer, German Shorthaired","Pointer, German Shorthaired",20.43
2018,LNS144134,Cassie,Dog,Boxer,Mix,19.01
2018,LN140041,Chloe,Dog,"Chihuahua, Short Coat",Unknown,24.04
